title,speaker,video
"Talk: Yin Yang Ranch: Building a Distributed Computer Vision Pipeline using Python, OpenCV and ZMQ",Jeff Bass,https://youtu.be/76GGZGneJZ4
Talk: Developing With Doctests,Jon Crall,https://youtu.be/CUjCqOw_oFk
Talk: How I Solved my NYC Parking Problem with Python,Jessica Garson,https://youtu.be/bK2iPDu7RDE
Talk: Comprehensible Comprehensions,Trey Hunner,https://youtu.be/ei71YpmfRX4
Talk: Snakes in a case: Packaging Python apps for distribution,Russell Keith-Magee,https://youtu.be/WjMDXDHBn1I
Talk: East Meets West When Translating Django Apps,Andrew Knight,https://youtu.be/OUkzFbzkXy4
"Talk: What is deployment, anyway?",Katie McLaughlin,https://youtu.be/8vstov3Y7uE
Talk: Leadership and Identity in the Pan-African Python movement,Marlene Mhangami,https://youtu.be/PQmCADPolOE
Talk: Implementing Ethics: Developing Trustworthy AI,Carol J. Smith,https://youtu.be/vPokIvli8yk
Talk: Automate the Boring Stuff with Slackbot,Takanori Suzuki,https://youtu.be/ndi55Ig6-SI
Talk: Small Big Data: using NumPy and Pandas when your data doesn't fit in memory,Itamar Turner-Trauring,https://youtu.be/8pFnrr0NnwY
"Talk: Ray: A System for High-performance, Distributed Python Applications",Dean Wampler,https://youtu.be/tqUe0gcfqAU
Talk: Beautiful Python Refactoring,Conor Hoekstra,https://youtu.be/W-lZttZhsUY
Talk: Static Typing in Python,Dustin Ingram,https://youtu.be/ST33zDM9vOE
Talk: Building Docs like Code: Continuous Integration for Documentation,Mason Egger,https://youtu.be/4SwdVMKhbn4
Talk: Transitioning from developing software to developing people: A firsthand experience,Matthew Knapp Bachmann,https://youtu.be/x7IwVaQgUAM
Talk: Saved by In-Memory NoSQL - A hitchhiker guided to Black Box debugging of Python Production Code,Deepak Kumar Gupta,https://youtu.be/NjMTf2UWPsw
Talk: AsyncIO + Music,Łukasz Langa,https://youtu.be/02CLD-42VdI
Talk: Pyambic Pentameter: generating rhyming and metered poems with Markov chains and NLTK,Kathryn Lingel,https://youtu.be/2ymZVpuqvSc
Talk: The Hitchhiker's Guide to CLIs in Python,Vinayak Mehta,https://youtu.be/Hn-syMunNy8
Talk: 9 Years of PyLadies: Lessons Learned and What Comes Next,Lorena Mesa,https://youtu.be/KRwpY2TixAs
Talk: The Hidden Power of the Python Runtime,Elizaveta Shashkova,https://youtu.be/yr6E7FwK_Hw
Talk: Organizing To Improve Your Workplace: Know Your Rights,Shauna Gordon-McKeon,https://youtu.be/mWKygyFir54
